epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5799,2.15014,3.35714,1.81839,0.005,0.71429,0.08088,0.02343,1.52215,3.59785,1.5456,0.0002,0.0002,0.0002
2,79.7995,1.80097,2.60796,1.55484,0.00567,0.80952,0.19966,0.13733,1.4105,3.35954,1.40803,0.000411684,0.000411684,0.000411684
3,120.17,1.7779,2.28979,1.54549,0.00533,0.7619,0.35102,0.21502,1.4403,3.32057,1.45353,0.000614656,0.000614656,0.000614656
4,162.894,1.6998,2.04994,1.47763,0.00533,0.7619,0.17936,0.09143,1.59513,3.39608,1.68252,0.000808916,0.000808916,0.000808916
5,202.912,1.65934,2.05548,1.52858,1,0.11491,0.29764,0.16719,1.53736,3.23527,1.5779,0.000994464,0.000994464,0.000994464
6,243.36,1.69738,1.86688,1.48984,0.62459,0.23773,0.34794,0.1975,1.73087,3.27861,1.732,0.0011713,0.0011713,0.0011713
7,290.005,1.65971,1.84461,1.45667,0.13344,0.19048,0.14175,0.07838,1.96913,3.30935,2.11934,0.00133942,0.00133942,0.00133942
8,336.863,1.61698,1.78495,1.42379,0.48016,0.14286,0.14843,0.0857,1.99625,3.39206,2.09665,0.00149884,0.00149884,0.00149884
9,383.58,1.75277,1.71313,1.46682,0.18454,0.42857,0.17068,0.10583,1.77278,4.06872,1.86092,0.00164954,0.00164954,0.00164954
10,429.156,1.61925,2.01027,1.47197,0.18706,0.33333,0.14012,0.08792,1.70394,3.83823,1.78518,0.0016436,0.0016436,0.0016436
11,474.16,1.6106,1.66943,1.44606,0.13272,0.14286,0.04327,0.02011,1.67142,5.35847,1.86055,0.001604,0.001604,0.001604
12,519.054,1.65197,1.67562,1.45718,0.13875,0.36841,0.11749,0.07177,1.67942,4.56224,1.70455,0.0015644,0.0015644,0.0015644
13,563.691,1.66897,1.51653,1.41988,0.54374,0.33333,0.33204,0.19607,1.82885,3.43357,1.83824,0.0015248,0.0015248,0.0015248
14,608.602,1.65216,1.70805,1.45509,0.623,0.42857,0.3573,0.22912,1.81624,2.97211,1.84493,0.0014852,0.0014852,0.0014852
15,653.777,1.62731,1.68131,1.45124,0.85299,0.38095,0.43856,0.24834,1.77882,2.59109,1.91329,0.0014456,0.0014456,0.0014456
16,699.038,1.61036,1.75638,1.46624,0.78676,0.33333,0.41881,0.25684,1.63646,2.69534,1.70346,0.001406,0.001406,0.001406
17,744.913,1.55587,1.63942,1.43085,0.64083,0.42857,0.4335,0.29108,1.52238,4.15736,1.69542,0.0013664,0.0013664,0.0013664
18,790.872,1.54732,1.48461,1.37663,0.69023,0.42857,0.44327,0.30855,1.46277,3.05174,1.66203,0.0013268,0.0013268,0.0013268
19,836.722,1.4848,1.43182,1.39521,0.76231,0.38095,0.47442,0.32389,1.45362,2.63894,1.66459,0.0012872,0.0012872,0.0012872
20,882.019,1.52332,1.52711,1.37859,0.59113,0.55136,0.54358,0.33012,1.68087,2.22428,1.91314,0.0012476,0.0012476,0.0012476
21,927.14,1.48277,1.39817,1.39857,0.48226,0.62106,0.55039,0.35107,1.63892,2.40429,1.85096,0.001208,0.001208,0.001208
22,972.275,1.50433,1.49009,1.4237,0.88371,0.47619,0.55146,0.32622,1.62307,2.61461,1.83132,0.0011684,0.0011684,0.0011684
